"Additional sidebar title","Zusätzlicher Seitenleisten-Titel"
"Allowed file types: png, gif, jpg, jpeg, svg.","Erlaubte Dateitypen: png, gif, jpg, jpeg, svg."
"ascending","aufsteigend"
"auto","auto"
"Background color","Hintergrundfarbe"
"Background color with default text","Hintergrundfarbe mit Standardtext"
"Background image","Hintergrundbild"
"Background image attachment","Hintergrundbildaufsatz"
"Background image position","Hintergrundbildposition"
"Background image repeat","Hintergrundbild wiederholen"
"Background image size","Hintergrundbildgröße"
"Big","Groß"
"bright","hell"
"brighter","heller"
"centered","zentriert"
"color","Farbe"
"Colors","Farben"
"contain","enthalten"
"Copyright background color","Copyright-Hintergrundfarbe"
"cover","decken"
"dark","dunkel"
"darker","dunkler"
"descending","absteigend"
"Design Configuration","Design-konfiguration"
"Design Module","Design Modul"
"don't repeat","nicht wiederholen"
"fixed","fest"
"Grey","Grau"
"Headlines","Überschrift"
"Hide product comparison","Produktvergleich ausblenden"
"LVK Settings","LVk Einstellungen"
"inherit","erben"
"initial","anfänglich"
"Installed Themes","Installierte Themen"
"LVK Settings","LVK Einstellungen"
"local","lokal"
"Main sidebar title","Haupt-Seitenleiste-Titel"
"Minify CSS","CSS minimieren"
"Navigation active item background color","Hintergrundfarbe der aktive Navigationsleisteneinträge"
"Navigation bar background color","Hintergrundfarbe der Navigationsleiste"
"Navigation items background color","Hintergrundfarbe der Navigationsleisteneinträge"
"Navigation items hover background color","Hintergrundfarbe der Navigationsleisteneinträge auf Hover"
"Navigation submenus background color","Hintergrundfarbe der Untermenüs"
"Navigation submenus hover background color","Hintergrundfarbe der Untermenüs auf Hover"
"Normal","Normal"
"Panel background color","Hintergrundfarbe der obersten Leiste"
"Primary","Primär"
"repeat horizontally","horizontal wiederholen"
"repeat vertically","vertikal wiederholen"
"scroll","scrollen"
"Secondary","Sekundär"
"see http://www.colorzilla.com/gradient-editor for configurable valid CSS gradient's code and presets","Siehe http://www.colorzilla.com/gradient-editor für konfigurierbaren gültigen CSS-Gradienten-Code und Presets"
"Show field limiter","Feldbegrenzer anzeigen"
"Show position in sorting options","Position in Sortieroptionen anzeigen"
"Show category title","Kategoriestitel anzeigen"
"Small","Klein"
"Style number-type inputs","Zahlen-Eingabefelder stylen"
"Tertiary","Tertiär"
"Text elements","Textelemente"
"Toggle blocks contents","Block-Inhalte toggeln"
"Use compact sorter","Kompaktsortierer verwenden"
